type,name,latitude,longitude,city
heliport,Total Rf Heliport,40.07080078125,-74.9336013793945,Bensalem
small_airport,Aero B Ranch Airport,38.704022,-101.473911,Leoti
small_airport,Lowell Field,59.94919968,-151.695999146,Anchor Point
small_airport,Epps Airpark,34.8647994995117,-86.7703018188477,Harvest
closed,Newport Hospital & Clinic Heliport,35.6087,-91.254898,Newport
small_airport,Fulton Airport,34.9428028,-97.8180194,Alex
small_airport,Cordes Airport,34.3055992126465,-112.165000915527,Cordes
small_airport,Goldstone /Gts/ Airport,35.3504981995,-116.888000488,Barstow
small_airport,Williams Ag Airport,39.427188,-121.763427,Biggs
heliport,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,Pine Valley
closed,Cass Field,40.622202,-104.344002,Briggsdale
small_airport,Grass Patch Airport,28.6455001831055,-82.2190017700195,Bushnell
heliport,Ringhaver Heliport,28.8465995788574,-82.3453979492188,Riverview
small_airport,River Oak Airport,27.230899810791,-80.9692001342773,Okeechobee
small_airport,Lt World Airport,33.7675018310547,-84.0682983398438,Lithonia
heliport,Caffrey Heliport,33.8842010498047,-84.7339019775391,Hiram
heliport,Kaupulehu Heliport,19.832715,-155.980233,Kailua/Kona
small_airport,Delta Shores Airport,48.1453018188477,-116.213996887207,Clark Fork
small_airport,Goltl Airport,39.724028,-101.395994,McDonald
heliport,Bailey Generation Station Heliport,41.6445007324219,-87.122802734375,Chesterton
small_airport,Hammer Airport,41.978401184082,-89.5604019165039,Polo
heliport,St Mary Medical Center Heliport,41.5113983154297,-87.2605972290039,Hobart
small_airport,Hayenga's Cant Find Farms Airport,40.0256004333496,-89.1229019165039,Kings
small_airport,Hayden Farm Airport,38.7277984619141,-94.9304962158203,Gardner
small_airport,Robbins Roost Airport,37.4094009399414,-84.6196975708008,Stanford
heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,Gonzales
heliport,Ac & R Components Heliport,39.6652984619141,-89.7055969238281,Chatham
small_airport,Lejeune Airport,30.1362991333008,-92.4293975830078,Esterwood
small_airport,Slater Field,38.7570991516113,-75.7537994384766,Federalsburg
heliport,Dow Chemical Heliport,43.9494018554688,-86.4167022705078,Ludington
small_airport,Battle Lake Municipal Airport,46.2999992370605,-95.7003021240234,Battle Lake
small_airport,Cooper Flying Service Airport,37.202800750732,-94.412399291992,Alba
closed,Sands Ranch Airport,48.53721,-109.705492,Havre
small_airport,Bucks Airport,39.473201751709,-75.1852035522461,Bridgeton
small_airport,North Raleigh Airport,36.0852012634277,-78.3713989257813,Louisburg
heliport,Colgate-Piscataway Heliport,40.5209007263184,-74.4746017456055,New Brunswick
seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,Beekmantown
small_airport,Weiss Airfield,42.9001007080078,-77.4997024536133,West Bloomfield
closed,Exit 3 Airport,41.590476,-84.141583,Wauseon
heliport,Miami Valley Hospital Heliport,39.7453002929687,-84.1874008178711,Dayton
small_airport,Gull Bay Landing Airport,36.198598,-96.217693,Sandsprings
heliport,Steel Systems Heliport,44.9328994750977,-123.129997253418,Salem
heliport,R J D Heliport,39.9488983154297,-75.7469024658203,Coatesville
small_airport,Ferrell Field,41.2995,-80.211111,Mercer
closed,Thomas Field,40.3778,-77.365303,Loysville
small_airport,Mc Kenzie Bridge State Airport,44.1832008362,-122.088996887,Mc Kenzie Bridge
small_airport,Flying O Airport,34.0093994140625,-80.2671966552734,Sumter
small_airport,Homan Field,44.809158,-96.498897,Gary
closed,SW Region FAA Heliport,32.8269,-97.305801,Fort Worth
heliport,Tcjc-Northeast Campus Heliport,32.847599029541,-97.1894989013672,Fort Worth
small_airport,Ragsdale Road Airport,35.5158996582031,-85.9535980224609,Manchester
small_airport,Alpine Range Airport,32.6076011657715,-97.2419967651367,Everman
closed,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,Baytown
closed,Clear Creek Ranch Airport,37.247799,-112.821998,Kanab
small_airport,Vaughan Airport,36.57600021,-78.9991684,Alton
small_airport,Groundhog Mountain Airport,36.6632995605469,-80.4994964599609,Hillsville
small_airport,Lower Granite State Airport,46.673500061035,-117.44300079346,Colfax
small_airport,Howell Airport,47.1783981323242,-122.772003173828,Longbranch
small_airport,Northern Lite Airport,44.3042984008789,-89.0501022338867,Waupaca
small_airport,Hawks Run Airport,46.25,-117.249000549316,Asotin
small_airport,Lazy J. Aerodrome,38.8288993835449,-79.866096496582,Beverly
heliport,Mountain View Regional Hospital Heliport,42.840361,-106.224443,Casper
small_airport,L P Askew Farms Airport,33.0334014892578,-101.93399810791,O'Donnell
small_airport,Purkeypile Airport,62.9435997009277,-152.270004272461,Purkeypile
heliport,Providence Seward Medical Center Heliport,60.1058739754,-149.446249008,Seward
small_airport,Ware Island Airport,32.9459991455078,-86.5139007568359,Clanton
heliport,Community Hospital of De Queen Heliport,34.0472984313965,-94.3548965454102,De Queen
heliport,Yat Heliport,34.6081008911133,-111.86499786377,Camp Verde
closed,Grant Airport,43.341701507568,-85.775001525879,Grant
heliport,Lugo Substation Heliport,34.3682405917,-117.370058745,Hesperia
small_airport,Swansboro Country Airport,38.7999000549316,-120.734001159668,Placerville
heliport,Los Angeles County Sheriff's Department Heliport,34.0377998352051,-118.153999328613,Los Angeles
heliport,St Vincent General Hospital Heliport,39.2453002929687,-106.246002197266,Leadville
heliport,Berlin Fairgrounds Heliport,41.6273002624512,-72.7275009155273,Berlin
small_airport,Rybolt Ranch Airport,28.5893993377686,-81.1442031860352,Orlando
heliport,Advent Health Altamonte Springs Heliport,28.666639,-81.3697,Altamonte Springs
small_airport,Cedar Knoll Flying Ranch Airport,28.7819004058838,-81.1592025756836,Geneva
heliport,Medical Center Heliport,32.4793014526367,-84.9791030883789,Columbus
small_airport,The Farm Airport,32.6744003295898,-82.7711029052734,Wrightsville
small_airport,Stender Airport,41.6610984802246,-90.7413024902344,Maysville
small_airport,Lava Hot Springs Airport,42.6082,-112.031998,Lava Hot Springs
small_airport,Myers Field,39.8849983215332,-86.5066986083984,Lizton
