name,latitude,longitude,iso
Tokyo,35.685,139.7514,JP
New York,40.6943,-73.9249,US
Mexico City,19.4424,-99.131,MX
Mumbai,19.017,72.857,IN
Sao Paulo,-23.5587,-46.625,BR
Delhi,28.67,77.23,IN
Shanghai,31.2165,121.4365,CN
Kolkata,22.495,88.3247,IN
Los Angeles,34.1139,-118.4068,US
Dhaka,23.7231,90.4086,BD
Buenos Aires,-34.6025,-58.3975,AR
Karachi,24.87,66.99,PK
Cairo,30.05,31.25,EG
Rio de Janeiro,-22.925,-43.225,BR
Osaka,34.75,135.4601,JP
Beijing,39.9289,116.3883,CN
Manila,14.6042,120.9822,PH
Moscow,55.7522,37.6155,RU
Istanbul,41.105,29.01,TR
Paris,48.8667,2.3333,FR
Seoul,37.5663,126.9997,KR
Lagos,6.4433,3.3915,NG
Jakarta,-6.1744,106.8294,ID
Guangzhou,23.145,113.325,CN
Chicago,41.8373,-87.6862,US
London,51.5,-0.1167,GB
Lima,-12.048,-77.0501,PE
Tehran,35.6719,51.4243,IR
Kinshasa,-4.3297,15.315,CD
Bogota,4.5964,-74.0833,CO
Shenzhen,22.5524,114.1221,CN
Wuhan,30.58,114.27,CN
Hong Kong,22.305,114.185,HK
Tianjin,39.13,117.2,CN
Chennai,13.09,80.28,IN
Taipei,25.0358,121.5683,TW
Bengaluru,12.97,77.56,IN
Bangkok,13.75,100.5166,TH
Lahore,31.56,74.35,PK
Chongqing,29.565,106.595,CN
Miami,25.7839,-80.2102,US
Hyderabad,17.4,78.48,IN
Dallas,32.7936,-96.7662,US
Santiago,-33.45,-70.667,CL
Philadelphia,40.0077,-75.1339,US
Belo Horizonte,-19.915,-43.915,BR
Madrid,40.4,-3.6834,ES
Houston,29.7869,-95.3905,US
Ahmadabad,23.0301,72.58,IN
Ho Chi Minh City,10.78,106.695,VN
Washington,38.9047,-77.0163,US
Atlanta,33.7627,-84.4225,US
Toronto,43.7,-79.42,CA
Singapore,1.293,103.8558,SG
Luanda,-8.8383,13.2344,AO
Baghdad,33.3386,44.3939,IQ
Barcelona,41.3833,2.1834,ES
Haora,22.5804,88.3299,IN
Shenyang,41.805,123.45,CN
Khartoum,15.5881,32.5342,SD
Pune,18.53,73.85,IN
Boston,42.3188,-71.0846,US
Sydney,-33.92,151.1852,AU
Saint Petersburg,59.939,30.316,RU
Chittagong,22.33,91.8,BD
Dongguan,23.0489,113.7447,CN
Riyadh,24.6408,46.7727,SA
Hanoi,21.0333,105.85,VN
Guadalajara,20.67,-103.33,MX
Melbourne,-37.82,144.975,AU
Alexandria,31.2,29.95,EG
Chengdu,30.67,104.07,CN
Rangoon,16.7834,96.1667,MM
Phoenix,33.5722,-112.0891,US
Xi'an,34.275,108.895,CN
Porto Alegre,-30.05,-51.2,BR
Surat,21.2,72.84,IN
Hechi,23.0965,109.6091,CN
Abidjan,5.32,-4.04,CI
Brasilia,-15.7833,-47.9161,BR
Ankara,39.9272,32.8644,TR
Monterrey,25.67,-100.33,MX
Yokohama,35.32,139.58,JP
Nanjing,32.05,118.78,CN
Montreal,45.5,-73.5833,CA
Guiyang,26.58,106.72,CN
Recife,-8.0756,-34.9156,BR
Seattle,47.6211,-122.3244,US
Harbin,45.75,126.65,CN
San Francisco,37.7562,-122.443,US
Fortaleza,-3.75,-38.58,BR
Zhangzhou,24.5204,117.67,CN
Detroit,42.3834,-83.1024,US
Salvador,-12.97,-38.48,BR
Busan,35.0951,129.01,KR
Johannesburg,-26.17,28.03,ZA
Berlin,52.5218,13.4015,DE
Algiers,36.7631,3.0506,DZ
Rome,41.896,12.4833,IT
Pyongyang,39.0194,125.7547,KP
Medellin,6.275,-75.575,CO
Kabul,34.5167,69.1833,AF
Athens,37.9833,23.7333,GR
Nagoya,35.155,136.915,JP
Cape Town,-33.92,18.435,ZA
San Diego,32.8312,-117.1225,US
Changchun,43.865,125.34,CN
Casablanca,33.6,-7.6164,MA
Dalian,38.9228,121.6298,CN
Cawnpore,26.46,80.32,IN
Kano,12,8.52,NG
Tel Aviv-Yafo,32.08,34.77,IL
Addis Ababa,9.0333,38.7,ET
Curitiba,-25.42,-49.32,BR
Zibo,36.8,118.05,CN
Jeddah,21.5169,39.2192,SA
Nairobi,-1.2833,36.8167,KE
Hangzhou,30.25,120.17,CN
Benoni,-26.1496,28.3299,ZA
Caracas,10.501,-66.917,VE
Milan,45.47,9.205,IT
Stuttgart,48.78,9.2,DE
Kunming,25.07,102.68,CN
Dar es Salaam,-6.8,39.2683,TZ
Minneapolis,44.9635,-93.2678,US
Jaipur,26.9211,75.81,IN
Taiyuan,37.875,112.5451,CN
Frankfurt,50.1,8.675,DE
Qingdao,36.09,120.33,CN
Surabaya,-7.2492,112.7508,ID
Lisbon,38.7227,-9.1449,PT
Tampa,27.9942,-82.4451,US
Jinan,36.675,116.995,CN
Fukuoka,33.595,130.41,JP
Campinas,-22.9,-47.1,BR
Denver,39.7621,-104.8759,US
Kaohsiung,22.6333,120.2666,TW
Quezon City,14.6504,121.03,PH
Katowice,50.2604,19.02,PL
Aleppo,36.23,37.17,SY
Durban,-29.865,30.98,ZA
Kyiv,50.4334,30.5166,UA
Lucknow,26.855,80.915,IN
Giza,30.01,31.19,EG
Zhengzhou,34.755,113.6651,CN
Taichung,24.1521,120.6817,TW
